squareMeters,numberOfRooms,hasYard,hasPool,floors,cityCode,cityPartRange,numPrevOwners,made,price
75523,3,0,1,63,9373,3,8,2005,7559081.5
80771,39,1,1,98,39381,8,6,2015,8085989.5
55712,58,0,1,19,34457,6,8,2021,5574642.1
32316,47,0,0,6,27939,10,4,2012,3232561.2
70429,19,1,1,90,38045,3,7,1990,7055052
39223,36,0,1,17,39489,8,6,2012,3926647.2
58682,10,1,1,99,6450,10,9,1995,5876376.5
86929,100,1,0,11,,3,4,2003,8696869.3
,3,0,0,61,,8,3,2012,5154055.2
,42,0,0,15,,5,8,2021,3970892.1
,21,0,1,90,,6,8,1993,2366397.3
,74,1,0,21,,4,2,2011,9652258.1
,31,1,0,5,,2,9,2008,1914688.8
,44,1,0,77,,8,4,2004,1320803.4
,3,0,1,69,,10,5,2018,7986665.8
,60,1,0,67,,6,9,2009,7607322.9
,88,0,1,6,,3,9,2011,6420823.1
,31,1,1,16,,7,8,2013,9944705.3
,37,1,1,17,,3,1,2016,2604486.6
,43,1,1,10,,9,5,2017,4187667.7
,64,1,1,50,,3,4,2009,2888047.9
,12,0,0,78,,3,7,2000,9244344
,64,1,0,65,,3,2,2019,3333351.9
,47,0,0,73,35331,1,4,2020,3482594
,51,0,0,90,87978,4,6,1993,1342509.3
,56,0,0,54,85377,5,9,2018,2091505.8
,46,0,1,3,9382,7,9,1994,9515440.4
,72,1,0,14,8410,2,6,2003,612471.3
,43,0,0,55,46144,6,5,1993,1189939.3
,7,1,1,73,20372,10,4,2016,5217708.6
,98,1,0,92,20344,2,4,1993,2598763.3
,40,1,1,54,339,3,1,2021,8555234.1
,78,0,0,79,73807,1,5,2009,1145642.9
,89,1,1,98,78155,2,5,2014,9765099.4
,47,1,0,9,90254,2,9,2008,7653300.8
,29,0,0,62,66489,9,7,1993,2622399.3
,87,1,0,91,73056,4,7,1998,2427801.8
,8,0,1,24,66771,7,6,1990,3627708
,88,0,1,49,10533,10,1,2013,1057021.3
,27,0,1,91,51803,8,10,2000,8711426
,19,1,1,6,50801,6,2,2001,6677649.1
,59,1,1,56,15574,7,9,2016,6667802.6
,29,0,1,69,53057,7,7,2000,8460604
,39,0,1,53,80821,6,5,1996,2877997.6
,38,1,0,32,59451,5,8,2016,7614076.6
,49,1,0,38,74381,9,2,2021,9272740.1
,66,1,1,27,4863,9,10,1991,4707341.1
,22,0,1,4,28104,1,10,2008,4809993.8
,97,1,1,11,44551,7,3,1998,586742.8
,47,0,1,27,44815,6,9,2021,5984462.1
,25,0,1,53,64601,10,5,2020,5492532
,10,1,1,52,76737,4,2,1998,5444967.8
,52,1,0,28,95678,4,6,1992,7005572.2
,11,1,1,20,55761,3,7,2021,5446398.1
,29,0,1,68,67505,5,3,1999,3147829.9
,6,1,1,28,45312,3,1,1997,6315375.7
,89,0,1,17,7488,1,6,1994,421906.4
,82,0,1,83,52015,6,10,2016,3316069.6
,8,0,0,51,95335,4,1,1990,6441378
,60,0,1,70,5484,2,1,1999,9390891.9
,60,1,1,22,1690,4,8,1993,6714247.3
,17,0,0,68,64247,7,1,2013,4797883.3
,57,1,0,74,2922,4,9,2010,3917691
,66,0,0,55,6739,4,9,2005,4364910.5
,74,1,0,17,32039,6,1,1990,4203344
